tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
 62   -6.81 -2.117    196  35         |   -3.39 -2.364    339  60         |   -0.97 -2.540    831 174         |   -0.25 -2.593   2054 200         
 63   -6.53 -2.138    197  36         |  -20.00 -2.357*   297  60         |  -20.00 -2.549*  1010 178         |   -8.88 -2.592   2245 200         
 64   -6.25 -2.156    199  37         |   -3.35 -2.368    246  60         |  -20.00 -2.551*   870 183         |   -8.45 -2.593   2245 200         
 65   -5.97 -2.182    230  38         |   -3.29 -2.371    300  61         |   -0.87 -2.547    708 184         |   -8.56 -2.593   2058 200         
 66   -5.73 -2.196    205  40         |  -20.00 -2.371*   304  63         |   -3.42 -2.540    741 175         |   -8.25 -2.594   2058 200         
 67   -5.42 -2.217    207  41         |   -3.09 -2.386    253  64         |  -20.00 -2.549*   885 174         |   -9.02 -2.591   1872 200         
 68  -20.00 -2.220*   244  43         |  -20.00 -2.396*   377  69         |   -1.44 -2.547    738 178         |   -0.32 -2.592   1871 200         
 69   -4.95 -2.251    214  44         |   -2.65 -2.419    327  72         |  -20.00 -2.551*   738 180         |   -8.66 -2.592   1869 200         
 70   -4.67 -2.272    217  46         |   -2.50 -2.429    356  77         |   -2.30 -2.540    589 179         |   -0.20 -2.596   1869 200         
 71   -4.37 -2.292    261  49         |   -2.30 -2.444    372  82         |   -2.84 -2.543    749 179         |   -9.08 -2.591   1877 200         
 72  -20.00 -2.303*   267  51         |   -2.10 -2.458    422  88         |   -1.59 -2.544    750 177         |   -0.29 -2.593   1688 200         
 73   -3.84 -2.332    231  53         |   -2.45 -2.464    386  93         |  -20.00 -2.549*   753 177         |   -9.14 -2.591   2069 200         
 74   -3.62 -2.347    284  57         |   -7.04 -2.454    289  29         |   -2.91 -2.541    611 179         |   -0.25 -2.596   1881 200         
 75   -3.31 -2.370    295  61         |   -2.93 -2.450    272  29         |   -1.89 -2.546    763 178         |   -8.46 -2.593   1889 200         
 76   -3.02 -2.391    311  65         |   -2.74 -2.447    271  29         |   -1.05 -2.548    770 178         |   -9.07 -2.591   2081 200         
 77  -20.00 -2.405*   392  71         |   -2.70 -2.450    336  85         |   -1.57 -2.545    776 176         |   -8.43 -2.593   2082 200         
 78   -2.41 -2.434    370  78         |   -2.75 -2.446    279  28         |   -1.04 -2.548    760 178         |   -0.29 -2.594   1899 200         
 79   -2.13 -2.456    459  85         |   -2.83 -2.442    281  28         |   -1.07 -2.546    763 175         |   -0.49 -2.593   1909 200         
 80   -6.78 -2.449    293  32         |   -2.88 -2.438    284  28         |   -1.97 -2.543    750 176         |   -9.23 -2.590   2096 200         
 81   -7.22 -2.444    280  28         |   -2.95 -2.434    284  28         |   -1.83 -2.541    910 180         |   -0.38 -2.593   2460 200         
 82   -7.39 -2.440    280  28         |   -3.01 -2.430    284  28         |  -20.00 -2.546*   928 182         |   -0.39 -2.593   2460 200         
 83   -7.55 -2.436    280  28         |   -3.09 -2.426    284  28         |  -20.00 -2.547*   926 180         |   -0.41 -2.592   2460 200         
 84   -7.68 -2.433    283  28         |   -5.25 -2.420    296  28         |  -20.00 -2.546*   925 179         |   -9.03 -2.591   2647 200         
 85   -7.83 -2.430    284  28         |   -5.38 -2.415    290  19         |  -20.00 -2.545*   930 181         |   -9.09 -2.591   2648 200         
 86   -8.00 -2.426    284  28         |   -5.53 -2.410    288  18         |   -2.41 -2.541    943 182         |   -9.37 -2.590   2653 200         
 87   -8.18 -2.421    284  28         |   -5.68 -2.404    288  18         |   -2.28 -2.545   1105 183         |   -8.12 -2.594   3018 200         
 88   -5.26 -2.419    282  28         |   -5.85 -2.398    288  18         |   -2.34 -2.546   1106 182         |   -9.29 -2.590   2837 200         
 89   -5.39 -2.415    290  19         |   -6.01 -2.392    288  18         |   -2.37 -2.545   1107 181         |   -8.14 -2.594   3200 200         
 90   -5.54 -2.409    288  18         |   -6.19 -2.385    288  18         |   -2.44 -2.543   1093 180         |   -8.21 -2.593   3200 200         
 91   -5.69 -2.404    288  18         |   -6.36 -2.379    288  18         |  -20.00 -2.547*  1263 182         |   -8.33 -2.593   3200 200         
 92   -5.85 -2.398    288  18         |   -6.53 -2.373    288  18         |   -2.59 -2.545   1127 183         |   -8.40 -2.593   3200 200         
 93   -6.02 -2.391    288  18         |   -6.70 -2.367    288  18         |  -20.00 -2.548*  1269 183         |   -8.42 -2.593   3200 200         
 94   -6.19 -2.385    288  18         |   -6.86 -2.361    288  18         |   -2.68 -2.545   1123 181         |   -8.36 -2.593   3200 200         
 95   -6.36 -2.379    288  18         |   -6.87 -2.362    324  59         |  -20.00 -2.546*  1276 183         |   -8.24 -2.593   3200 200         
 96   -6.53 -2.373    288  18         |   -5.24 -2.363    384  60         |   -1.85 -2.540   1106 179         |   -8.03 -2.594   3200 200         
 97   -6.70 -2.366    288  18         |   -5.10 -2.371    394  62         |   -1.74 -2.543   1122 181         |   -8.68 -2.592   2839 200         
 98   -6.86 -2.361    288  18         |   -3.92 -2.376    384  62         |   -1.75 -2.543   1124 180         |   -8.28 -2.593   2837 200         
 99   -7.01 -2.355    288  18         |   -6.69 -2.380    397  63         |  -20.00 -2.548*  1126 185         |   -0.43 -2.593   2470 200         
100   -7.14 -2.350    288  18         |  -20.00 -2.379*   454  65         |  -20.00 -2.544*   961 179         |   -7.57 -2.595   2484 200         
